Year,Team cat,place,Name,Nameabb,Point
2015,USMS Club,2,Great Bay Masters,GBM-NE,2433.5
2015,USMS Club,3,Bearcat Masters,BCTM-MR,2423
2015,USMS Club,4,Red Tide,REDT-MR,981
2015,USMS Club,5,Connecticut Masters,CONN-CT,871
2015,USMS Club,6,Binghamton Univ Masters,BUMS-NI,468
2015,USMS Club,7,Asphalt Green Masters,AGUA-MR,412
2015,USMS Club,8,New York Athletic Club,NYAC-MR,326
2015,USMS Club,9,MOVY Masters,MOVY-MV,295
2015,USMS Club,10,Westchester Masters,WM-MR,227
2015,USMS Club,11,Georgia Masters,GAJA-GA,105
2015,USMS Club,12,Garden State Masters,GSM-NJ,93
2015,USMS Club,13,Sarasota YMCA Sharks,SYSM-FL,87
2015,USMS Club,14,Post Swimming,POST-MR,76
2015,USMS Club,14,Simon's Rock Pace Makers,SRPM-NE,76
2015,USMS Club,16,Badger Masters,BDGR-MR,75
2015,USMS Club,17,Colonials 1776,1776-DV,66
2015,USMS Club,17,Wellesley Masters Swimming,WELL-NE,66
2015,USMS Club,19,Thoreau Club,THOR-NE,50
2015,USMS Club,20,Metro Masters Swim Club,METR-MR,47
2015,USMS Club,21,Adirondack Masters,ADMS-AD,40
2015,USMS Club,22,Swimmin,SWMN-MR,34
2015,USMS Club,22,Rinconada Masters,RINC-PC,34
2015,USMS Club,24,Club Tribe Alumni,1693-VA,27
2015,USMS Club,25,Mansfield Master Marlins SC,MMMS-CT,17
2015,Large Team,1,Swim Rhode Island,SWMR-NE,6339.5
2015,Large Team,2,Cambridge Masters Swim Club,CMSC-NE,4654.5
2015,Medium Team,1,Worcester Area Masters,WAM-NE,2663
2015,Medium Team,2,Greenwood Masters,GWDM-NE,1987
2015,Medium Team,3,Nutmeg Masters,NMEG-NE,1816
2015,Medium Team,4,YMCA of the North Shore,YNS-NE,1665
2015,Medium Team,5,Minuteman Andover Masters Asso,MAMA-NE,1590
2015,Medium Team,6,Granite State Penguins,GSP-NE,1463
2015,Medium Team,7,Boston University Masters,BUMS-NE,1191
2015,Medium Team,8,ABC Masters - Gray Sharks,ABC-NE,1024
2015,Medium Team,9,Liquid Assets New England Swim,LANE-NE,797
2015,Medium Team,10,North Suburban YMCA Masters,NSY-NE,632
2015,Medium Team,11,University Club of Boston,UCLB-NE,492
2015,Small Team,1,Weymouth Club Masters Swimming,WCMS-NE,669
2015,Small Team,2,Martha's Vineyard Masters,MVM-NE,529
2015,Small Team,3,Technique and Training,TNT-NE,478
2015,Small Team,4,UV Rays,UVRA-NE,437
2015,Small Team,5,Simmons Masters,SIMM-NE,375
2015,Small Team,6,Flaherty Masters,FLA-NE,282
2015,Small Team,7,MIT Masters,MIT-NE,266
2015,Small Team,8,Waltham YMCA,WALT-NE,193
2015,Small Team,9,Pittsfield YMCA Polar Bears,PITY-NE,154.5
2015,Small Team,10,West Suburban YMCA Masters,WSY-NE,41
2015,Small Team,11,Phoenix Swim Club,PSC-NE,20
2015,Squad,1,Western Mass Waterhorses,WMW-NE,212
2015,Squad,2,UMass Aquatic Masters,UMAS-NE,101
2015,Squad,3,Adirondack Aquatic Club Master,AAC-NE,100
2015,Squad,4,Cape Cod Masters,CCM-NE,70
2015,Squad,5,Boston College Masters,BCMS-NE,69
2015,Squad,6,Smith College,SMTH-NE,62
2015,Squad,7,Hockomock Masters,HOCK-NE,59
2015,Squad,7,Newburyport YWCA,NBPT-NE,59
2015,Squad,9,Marblehead JCC Masters,JCCM-NE,51
2015,Squad,10,Kingsury Club Masters,KNGM-NE,50
2015,Squad,11,Greater Boston YMCA Masters,BOSY-NE,41
2015,Squad,11,JCC Newton Masters,JCCN-NE,41
2015,Squad,13,Burlington Area Sink Swim,BASS-NE,30
2015,Squad,14,Wayland Masters,WAY-NE,17
2015,Squad,14,Middlebury Muffintops,MUFF-NE,17
2017,Squad,32,Brookline Recreation,BRKL-NE,7
2017,Squad,33,Tribeach,TBH-CT,4
2017,Squad,34,Thoreau Club,THOR-NE,1
2017,Large Team,1,Charles River Masters,CRM-NE,6789.5
2017,Large Team,2,Swim Rhode Island,SWMR-NE,3674
2017,Large Team,3,Maine Masters Swim Club,MESC-NE,3268.5
2017,Large Team,4,Bearcat Masters,BCTM-MR,2601.5
2017,Large Team,5,South County YMCA,SCY-NE,2596
2017,Large Team,6,Great Bay Masters,GBM-NE,2165
2017,Large Team,7,Connecticut Masters,CONN-CT,1699
2017,Large Team,8,Minuteman Masters Swim Club,MAMA-NE,1600
2017,Medium Team,1,Greenwood Masters,GWDM-NE,2625
2017,Medium Team,2,Granite State Penguins,GSP-NE,2539
2017,Medium Team,3,Worcester Area Masters,WAM-NE,2105.5
2017,Medium Team,4,Nutmeg Masters,NMEG-NE,1197
2017,Medium Team,5,ABC Masters - Gray Sharks,ABC-NE,1145
2017,Medium Team,6,Binghamton Univ Masters,BUMS-NI,961
2017,Medium Team,7,North Suburban YMCA Masters,NSY-NE,894
2017,Medium Team,8,YMCA of the North Shore,YNS-NE,771
2017,Medium Team,9,Boston University Masters,BUMS-NE,549.5
2017,Medium Team,10,Red Tide,REDT-MR,482
2017,Medium Team,11,Simon's Rock Pace Makers,SRPM-NE,420.5
2017,Medium Team,12,Tech Masters,MIT-NE,375
2017,Small Team,1,Weymouth Club Masters Swimming,WCMS-NE,826
2017,Small Team,2,Martha's Vineyard Masters,MVM-NE,777
2017,Small Team,3,Liquid Assets New England Swim,LANE-NE,444
2017,Small Team,4,Pittsfield YMCA Polar Bears,PITY-NE,339
2017,Small Team,5,Simmons Masters,SIMM-NE,338
2017,Small Team,6,Andover North Andover YMCA,ANA-NE,289
2017,Small Team,7,Westchester Masters,WM-MR,246.5
2017,Small Team,8,Asphalt Green Masters,AGUA-MR,214
2017,Small Team,9,MOVY Masters,MOVY-MV,195
2017,Small Team,10,Adirondack Masters,ADMS-AD,192
2017,Small Team,11,New York Athletic Club,NYAC-MR,132
2017,Small Team,12,Western Mass Waterhorses,WMW-NE,131.5
2017,Small Team,13,University Club of Boston,UCLB-NE,85
2017,Small Team,14,Suburban Sharks,SUB-NE,31
2017,Squad,1,Novaquatics Masters,NOVA-SP,196
2017,Squad,2,Technique and Training,TNT-NE,189
2017,Squad,3,DDP Swim,DDP-VA,166
2017,Squad,4,King Fins Aquatic Club,KFAC-NE,163
2017,Squad,5,St Pete Masters Inc,SPM-FL,154
2017,Squad,6,Trillium Y Masters Ontario,TYMS,136
2017,Squad,7,Sarasota YMCA Sharks,SYSM-FL,123
2017,Squad,8,Keene Swim Masters,KEEN-NE,119
2017,Squad,9,Colonials 1776,1776-DV,117
2017,Squad,10,Garden State Masters,GSM-NJ,111
2017,Squad,11,Chelsea Piers Masters,CHEL-MR,82
2017,Squad,12,UV Rays,UVRA-NE,81
2017,Squad,12,Pinehills Masters,PHM-NE,81
2017,Squad,14,SweetWater Swim Studio,SWS-NE,77
2017,Squad,15,Cape Cod Masters,CCM-NE,76
2017,Squad,16,UMass Aquatic Masters,UMAS-NE,70.5
2017,Squad,17,Newburyport Breakers,NBPB-NE,67
2017,Squad,18,Palm Beach Masters,PBM-FG,66
2017,Squad,19,Post Swimming,POST-MR,61
2017,Squad,20,Colorado Masters Swimming,CMS-CO,50
2017,Squad,21,NYC Hydras,NYCH-MR,39
2017,Squad,22,Auburn Master Swimmers,AMS-SE,38
2017,Squad,23,Flaherty Masters,FLA-NE,30
2017,Squad,24,Kingsbury Club Masters,KING-NE,29
2017,Squad,25,Fountaingrove Masters,FMS-PC,27
2017,Squad,26,Team New York Aquatics,TNYA-MR,21
2017,Squad,27,Adirondack Aquatic Club Master,AAC-NE,14
2017,Squad,28,Life Time Swim New England,LTNE-NE,13
2017,Squad,28,Wellesley Masters Swimming,WELL-NE,13
2017,Squad,30,Lowell YMCA Flippers Masters,LYMT-NE,10
2017,Squad,30,JCC Newton Masters,JCCN-NE,10
2019,Large Team,1,Charles River Masters,CRM-NE,4964.5
2019,Large Team,2,Swim Rhode Island,SWMR-NE,3930.5
2019,Large Team,3,South County YMCA,SCY-NE,3761
2019,Large Team,4,Maine Masters Swim Club,MESC-NE,2938
2019,Large Team,5,Great Bay Masters,GBM-NE,2484
2019,Large Team,6,Bearcat Masters,BCTM-MR,2463
2019,Large Team,7,Worcester Area Masters,WAM-NE,2453.5
2019,Large Team,8,Connecticut Masters,CONN-CT,2270
2019,Medium Team,1,Granite State Penguins,GSP-NE,2377
2019,Medium Team,2,ABC Masters - Gray Sharks,ABC-NE,1211
2019,Medium Team,3,King Fins Aquatic Club,KFAC-NE,926
2019,Medium Team,4,Minuteman Masters Swim Club,MAMA-NE,803
2019,Medium Team,5,North Suburban YMCA Masters,NSY-NE,698
2019,Medium Team,6,Tech Masters,MIT-NE,651
2019,Medium Team,7,Liquid Assets New England Swim,LANE-NE,580
2019,Medium Team,8,YMCA of the North Shore,YNS-NE,501
2019,Medium Team,9,Boston University Masters,BUMS-NE,451
2019,Small Team,1,Wild Crab Masters Swimming,WCMS-NE,892
2019,Small Team,2,Nutmeg Masters,NMEG-NE,872
2019,Small Team,3,Greenwood Masters,GWDM-NE,848.5
2019,Small Team,4,Red Tide,REDT-MR,825
2019,Small Team,5,Martha's Vineyard Masters,MVM-NE,473
2019,Small Team,6,MOVY Masters,MOVY-MV,368
2019,Small Team,7,Flaherty Masters,FLA-NE,329
2019,Small Team,8,OakSquare YMCA,OAKS-NE,208
2019,Small Team,9,Westchester Masters,WM-MR,188
2019,Small Team,10,Greater Holyoke YMCA Masters,HOLY-NE,162
2019,Small Team,11,YMCA of Greater Nashua Storm,STRM-NE,157
2019,Small Team,12,Keene Swim Masters,KEEN-NE,146
2019,Small Team,13,UMass Boston Masters,UMBMS-NE,142
2019,Small Team,14,West Suburban YMCA Masters,WSY-NE,133
2019,Small Team,15,Pittsfield YMCA Polar Bears,PITY-NE,118
2019,Small Team,16,Adirondack Masters,ADMS-AD,105
2019,Small Team,17,Kent Y Masters Swim Club,KYM-NE,73
2019,Small Team,18,University Club of Boston,UCLB-NE,58
2019,Small Team,19,New York Athletic Club,NYAC-MR,32
2019,Small Team,20,SweetWater Swim Studio,SWS-NE,27
2019,Squad,1,Kingsbury Club Masters,KING-NE,157
2019,Squad,2,Andover North Andover YMCA,ANA-NE,148
2019,Squad,3,Simon's Rock Pace Makers,SRPM-NE,138
2019,Squad,4,Sarasota Sharks Masters,SHARK-FL,128
2019,Squad,5,Long Island City YMCA Masters,LICY-MR,125
2019,Squad,6,Green Wave Masters Swimming,GWMS-NJ,116
2019,Squad,7,Rinconada Masters,RINC-PC,113
2019,Squad,8,Stanford Masters Swimming,STAN-PC,105
2019,Squad,9,Metro Masters Swim Club,METR-MR,93
2019,Squad,10,Simmons Masters,SIMM-NE,91
2019,Squad,11,Stowe Masters,STOW-NE,88
2019,Squad,12,Burbank YMCA Masters,BYB-NE,87
2019,Squad,13,Life Time Swim New England,LTNE-NE,85
2019,Squad,14,Lowell YMCA Flippers Masters,LYMT-NE,84
2019,Squad,15,Express Masters Swimming,EXMS-MR,76
2019,Squad,16,Hudson Valley Dolphins,HVD-MR,68
2019,Squad,16,Longhorn Aquatics,TXLA-ST,68
2019,Squad,16,UV Rays,UVRA-NE,68
2019,Squad,19,Conejo Valley Multisport,CVMM-SP,66
2019,Squad,19,Wayland Community Pool Masters,WCP-NE,66
2019,Squad,21,Western Mass Waterhorses,WMW-NE,58
2019,Squad,22,Binghamton Univ Masters,BUMS-NI,57
2019,Squad,23,Charles River Swim Club,CRSC-NE,56
2019,Squad,24,Berkeley (NJ) Aquatic Masters,BERK-NJ,54
2019,Squad,25,Chicago Swedish Fish Masters,SWED-IL,52
2019,Squad,25,Life Time Swim New Jersey,LTMM-NJ,52
2019,Squad,27,Technique and Training,TNT-NE,50
2019,Squad,28,Chelsea Piers Masters,CHEL-MR,44
2019,Squad,29,Patriot Masters Swim Team,GMUP-PV,32
2019,Squad,29,Burlington Area Sink Swim,BASS-NE,32
2019,Squad,31,Garden State Masters,GSM-NJ,29
2019,Squad,32,Shaker Swimming,SHSH-LE,26
2019,Squad,33,Team New York Aquatics,TNYA-MR,20
2019,Squad,34,Monument Masters,BAM-NE,17
2019,Squad,34,E Team,ETM-VA,17
2019,Squad,34,Newburyport Breakers,NBPB-NE,17
2019,Squad,37,Asphalt Green Masters,AGUA-MR,15
2019,Squad,38,Peddie Aquatic Association,PAA-NJ,13
2019,Squad,39,St Louis Area Masters,SLAM-OZ,11
2019,Squad,40,Saw Mill Club Storm Aquatics,SMC-MR,9
2018,Large Team,1,Charles River Masters,CRM-NE,5722
2018,Large Team,2,Swim Rhode Island,SWMR-NE,3410
2018,Large Team,3,Maine Masters Swim Club,MESC-NE,3154
2018,Large Team,4,South County YMCA,SCY-NE,2680
2018,Large Team,5,Bearcat Masters,BCTM-MR,2621.5
2018,Large Team,6,Worcester Area Masters,WAM-NE,2351.5
2018,Large Team,7,Great Bay Masters,GBM-NE,2167.5
2018,Large Team,8,Connecticut Masters,CONN-CT,1701
2018,Medium Team,1,Granite State Penguins,GSP-NE,2165.5
2018,Medium Team,2,Greenwood Masters,GWDM-NE,1965
2018,Medium Team,3,ABC Masters - Gray Sharks,ABC-NE,1465.5
2018,Medium Team,4,North Suburban YMCA Masters,NSY-NE,993
2018,Medium Team,5,Liquid Assets New England Swim,LANE-NE,795.5
2018,Medium Team,6,Martha's Vineyard Masters,MVM-NE,664
2018,Medium Team,7,Tech Masters,MIT-NE,658
2018,Small Team,1,Nutmeg Masters,NMEG-NE,1045
2018,Small Team,2,Weymouth Club Masters Swimming,WCMS-NE,697.5
2018,Small Team,3,Minuteman Masters Swim Club,MAMA-NE,663
2018,Small Team,4,Pittsfield YMCA Polar Bears,PITY-NE,419
2018,Small Team,5,YMCA of the North Shore,YNS-NE,377
2018,Small Team,6,Chelsea Piers Masters,CHEL-MR,323
2018,Small Team,7,MOVY Masters,MOVY-MV,278
2018,Small Team,8,Adirondack Masters,ADMS-AD,267
2018,Small Team,9,Wellesley Masters Swimming,WELL-NE,219
2018,Small Team,10,Boston University Masters,BUMS-NE,218
2018,Small Team,11,Wayland Community Pool Masters,WCP-NE,161
2018,Small Team,12,Flaherty Masters,FLA-NE,156
2018,Small Team,13,Brookline Recreation,BRKL-NE,153
2018,Small Team,14,King Fins Aquatic Club,KFAC-NE,143
2018,Small Team,15,OakSquare YMCA,OAKS-NE,142
2018,Small Team,16,Andover North Andover YMCA,ANA-NE,129
2018,Small Team,17,University Club of Boston,UCLB-NE,65
2018,Small Team,18,Kingsbury Club Masters,KING-NE,56
2018,Small Team,19,Newburyport Breakers,NBPB-NE,55
2018,Squad,1,OHIO Masters Swim Club,O*H*-LE,204
2018,Squad,2,Palm Beach Masters,PBM-FG,173
2018,Squad,3,Binghamton Univ Masters,BUMS-NI,168
2018,Squad,4,Rochester Area Masters Swimmin,ROCH-NI,150.5
2018,Squad,5,Lowell YMCA Flippers Masters,LYMT-NE,137
2018,Squad,6,Technique and Training,TNT-NE,136
2018,Squad,7,Sarasota YMCA Sharks,SYSM-FL,130
2018,Squad,8,Westchester Masters,WM-MR,114
2018,Squad,9,Keene Swim Masters,KEEN-NE,113
2018,Squad,10,SweetWater Swim Studio,SWS-NE,106
2018,Squad,11,Western Mass Waterhorses,WMW-NE,105
2018,Squad,12,Greater Holyoke YMCA Masters,HOLY-NE,104
2018,Squad,13,Monument Masters,BAM-NE,98
2018,Squad,14,Post Swimming,POST-MR,88
2018,Squad,15,UV Rays,UVRA-NE,85
2018,Squad,16,Walnut Creek Masters,WCM-PC,84
2018,Squad,17,Ridgefield Aquatic Club,RAC-CT,83.5
2018,Squad,18,NYC Hydras,NYCH-MR,77
2018,Squad,19,Team New York Aquatics,TNYA-MR,67
2018,Squad,20,Long Island City YMCA Masters,LICY-MR,60
2018,Squad,21,Santa Clara Swim Club Masters,SCSC-PC,51
2018,Squad,22,Garden State Masters,GSM-NJ,49
2018,Squad,23,Rinconada Masters,RINC-PC,47
2018,Squad,24,Chelsea Piers Connecticut,CPCT-CT,44
2018,Squad,25,UMB Masters,UMBM-NE,43
2018,Squad,26,West Suburban YMCA Masters,WSY-NE,42
2018,Squad,27,Middlebury Muffintops,MUFF-NE,40
2018,Squad,28,Michigan Masters,MICH-MI,34
2018,Squad,28,Chicago Swedish Fish Masters,SWED-IL,34
2018,Squad,30,Shaker Swimming,SHSH-LE,32
2018,Squad,31,Somerset County YMCA Masters,SCYM-NJ,31
2018,Squad,32,Burlington Area Sink Swim,BASS-NE,26
2018,Squad,33,Waltham Masters Swimmers,WMS-NE,24
2018,Squad,33,Simon's Rock Pace Makers,SRPM-NE,24
2018,Squad,35,GBR: City of Cambridge,COCSC,17
2018,Squad,35,New York Athletic Club,NYAC-MR,17
2018,Squad,37,Asphalt Green Masters,AGUA-MR,15
2018,Squad,38,Stowe Masters,STOW-NE,14
2018,Squad,39,Life Time Swim New Jersey,LTMM-NJ,7
2018,Squad,40,Swim Fort Lauderdale,SFTL-FG,2
