Year,Team cat,place,Name,Nameabb,Point
2014,Small Team,1,Greenwood Masters,GWDM-NE,1755.5
2014,Small Team,2,Worcester Area Masters,WAM-NE,1651
2014,Small Team,3,Nutmeg Masters,NMEG-NE,1473
2014,Small Team,4,YMCA of the North Shore,YNS-NE,1188
2014,Small Team,5,Liquid Assets New England Swim,LANE-NE,1137.5
2014,Small Team,6,Granite State Penguins,GSP-NE,948
2014,Small Team,7,North Suburban YMCA Masters,NSY-NE,817
2014,Small Team,8,ABC Masters - Gray Sharks,ABC-NE,743
2014,Small Team,8,University Club of Boston,UCLB-NE,743
2014,Squad,1,Simmons Masters,SIMM-NE,256
2014,Squad,2,Smith College,SMTH-NE,215
2014,Squad,3,Martha's Vineyard Masters,MVM-NE,198
2014,Squad,4,Burlington Area Sink Swim,BASS-NE,106
2014,Squad,5,Pittsfield YMCA Polar Bears,PITY-NE,103
2014,Squad,6,UMASS Aquatic Masters,UMAS-NE,84
2014,Squad,7,UV Rays,UVRA-NE,81
2014,Squad,8,Hockomock Masters,HOCK-NE,73
2014,Squad,9,Boston College Masters,BC-NE,58
2014,Squad,10,Waltham YMCA,WALT-NE,50
2014,Squad,11,Marblehead JCC Masters,JCCM-NE,34
2014,Squad,12,Kingsury Club Masters,KNGM-NE,33
2014,Squad,13,Stowe Masters,STOW-NE,30
2014,Squad,14,Newburyport YWCA,NBPT-NE,20
2014,Squad,15,Bennington Area Masters,BAM-NE,17
2014,Squad,16,South Shore YMCA,SSHY-NE,9
2014,Squad,17,Greater Boston YMCA Masters,BOSY-NE,3
2014,Squad,18,Phoenix Swim Club,PSC-NE,1
2013,USMS Club,1,Maine Masters Swim Club,MESC-NE,3841.5
2013,USMS Club,2,Bearcat Masters,BCTM-MR,3035
2013,USMS Club,3,Great Bay Masters,GBM-NE,2440
2013,USMS Club,4,Westchester Masters,WM-MR,967
2013,USMS Club,5,Connecticut Masters,CONN-CT,788
2013,USMS Club,6,Asphalt Green Masters,AGUA-MR,629
